Пор.No,Арт.No,Име,Прод.цена
255,5221,Deroni Soev Sos Tymen 250ml,1.07
256,5223,Soev Sos Oberon 250ml,0.83
257,5225,Oberon Konfityr Malina 350gr,1.12
258,5226,Oberon Konfityr Chereshi 350gr,1.12
259,5227,Oberon Konfityr Kapina 350gr,1.12
260,33618,Lukanka teleshka Orehite ,18.6
261,5228,Oberon Konfityr Praskova 350gr,1.12
262,5229,Oberon Konfityr Borovinka 350gr,1.12
263,5230,Oberon Konfityr Jagodi 350gr,1.12
264,5231,Oberon Konfityr Gorski Plodove 350gr,1.12
265,5232,Ot Mazeto kompot duli 1L,1.6
266,5233,Limonov sok Oberon 250ml,0.35
267,5234,Oberon Konfityr Vishni 350gr,1.12
268,5235,Oberon Marmalad Shipki 350gr,1.12
269,5236,Ot Mazeto kompot qgodi 330ml ,0.8
270,5237,Kompot Jagoda 680gr Popa,1.03
271,5238,Kompot Malina 560gr Popa,1.03
272,5239,Ot Mazeto kompot malini 330ml,0.8
273,5240,Rubikon Med Pchelichka 430gr,1.28
274,5241,Unisos Maggi 160ml,1.09
275,5242,Ot Mazeo kompot  Kaisii 1l,1.6
276,5243,Marmalad shipki 330g,1.07
277,5244,Oberon konfityr Kaisiq 350g,1.12
278,5245,Ketchup za sandvichi 500g,0.96
279,5246,Ot mazeto kompot Malini 1l,1.6
280,5247,Ot mazeto kompot Grozde 1l,1.6
281,5248,Ot mazeto kompot Aronija 1l,1.6
282,5249,Ot mazeto kompot Praskova 1l,1.6
283,5250,Ot mazeto kompot Kapina 1l,1.6
284,5251,Parleni Chushki Popa 314gr,0.92
285,5252,Chushki Fiferoni POPA 314gr,0.93
286,5253,Oberon Fini ljuti pukani chushleta 300gr,0.93
287,5254,Parleni Chushki Popa 580g,0.73
288,5255,Pecheni Chorbadjiiski cushki Oberon 540gr,1.46
289,5256,Chorbadjiiski Chushki Fiorre 560gr,0.74
290,5257,Luti Chushki Popa 314gr,0.92
291,5258,Lozov List Popa 720gr,1.22
292,5259,Sterilizirani Krastavichki Oberon 680gr,0.97
293,5260,Zelen Grah Oberon 400gr,0.8
294,5261,Domati Nebeleni Peltina 600gr,1.22
295,5262,Selski Bob Peltina 559gr,1.49
296,5263,Guvech Fiorre 680gr,1.1
297,5264,Celi Nebeleni Domati Oberon 680gr,1.01
298,5265,Guvech Oberon 680gr,1.14
299,5266,Kapiq Pechena Kalia 680gr,1.9
300,5267,Guvech Peltina 680gr,1.17
301,5268,Paprikash Fiorre 680gr,1.17
302,5269,Lozovi Lista Oberon 680gr,1.04
303,5270,Zelevi Lista Popa 700gr,1.68
304,5271,Zelen Grah Oberon 680gr,1.15
305,5272,Pechena Belena Kapija Oberon 680gr,2.12
306,5273,Luti Shipki Stil 300gr,0.9
307,5274,Sladka Carevica Oberon 340gr,0.98
308,5275,Sladka carevica Krina 340gr,0.89
309,5276,Sladka  Carevica Fiorre 340gr,0.78
310,5277,Bob v Domaten sos Krina 400gr,0.89
311,5278,Maslen Bob Krina 400gr,0.91
312,587,Djindjifil kg ,0
313,5280,Krastavichki Ekstra Popa 560gr,0.9
314,5281,Sterilizirani Krastavichki Oberon 680gr,1.51
315,5282,Zelen Fasul Oberon 689gr,1.06
316,5283,Pukani Luti Chushleta Fiorre 300gr,0.8
317,5284,Pulneni chushki s bob Belo Horizonte 410gr,1.5
318,5285,Musaka Menu 300gr,1.48
319,5286,Shpek Burgas Leki 240g,2.63
320,6154,Suho mlqko 1.5% Shiderov 20br,0.21
321,5288,Chichovtsi Servilat 300gr,1.54
322,5289,teleshki kolbas Ken 350gr,1.36
323,5290,KFM suh shpek Burgas  230g,2.78
324,5291,KFM Starobalgarski babek 190g,2.34
325,5292,KFM Starobalgarska lukanka 190g,2.97
326,5293,Perelik  suh shpek 260g,4.03
327,5294,"Naroden shpek ""Klasik"" 220gr",2.12
328,5295,"Ken Salam ""Veslec"" 220g",1.8
329,5296,Leki pueshka shunka 300g,2.21
330,5297,KFM Smqdovska lukanka 190g,2.95
331,5299,"Ambarica  ""Chichovci"" 240g",2.06
332,5300,Teleshki shpek Eko Mes 120gr,1.17
333,5301,Saveks Pink Sparkle 1L,1.76
334,5302,Savex Purple Bloom 1L,1.76
335,5303,Semana Moonflower 1L,2.67
336,5304,Semana Pink Passion 1L,2.67
337,5305,Semana Golden Shine 0.500ml,1.58
338,5306,Omekotitel Medix  Alvina Magnetic cheren 1L ,2.3
339,5307,Semana Green Tease 1L,2.67
340,5308,Semana Innocence 1L,2.67
341,5309,Savex Green Energy 1L,1.76
342,5310,Semana Violet Kiss 1L,2.67
343,5311,Savex Blue Burst 1L,1.76
344,5312,Teo Bebe Sweet Lavender 1.3L,5.3
345,5313,Savex Sensitive 1L,1.54
346,5314,Teo Bebe Tender Aloe 1.3L,5.3
347,5315,Semana Red Passion 1L,2.67
348,5316,Bingo Lovely Color 2kg,4.8
